CLIENT_ID,LIMIT_BAL,RecentDelinquencyCount,MaxRepaymentDelay,PaymentToBillRatio,DEFAULT
16351,360000,3,2,0.8300407651301348,0
16557,360000,2,2,0.4999000199960008,0
16599,360000,2,2,0.8797359785202864,0
17204,360000,2,2,1.3072088724584103,0
17235,360000,6,3,0.0,1
17689,360000,2,2,0.6150446551882883,0
17728,360000,2,2,0.2363154796939376,0
18211,360000,2,2,0.5157952069716776,0
20053,360000,2,2,0.1291471358129908,1
20156,360000,3,2,0.3970143364461397,0
21754,360000,2,2,0.47929447852760737,0
22799,360000,2,2,0.0,0
22917,360000,2,2,0.033696437001860646,0
23032,360000,2,2,1.3174668028600613,0
23521,360000,2,2,0.4999000199960008,0
24934,360000,2,2,0.34540482307118586,0
25093,360000,2,2,1.2120481927710844,1
25568,360000,2,2,0.0,0
25875,360000,4,2,0.0312290329170495,1
27899,360000,2,2,0.0,0
28424,360000,4,2,0.04066929186450892,1
28562,360000,2,2,0.0,1
29649,360000,3,3,1.1398327431628117,1
1250,350000,6,7,0.0,1
4184,350000,2,2,0.0541837603529685,0
4610,350000,3,2,0.2628811777076761,0
4918,350000,2,2,0.659656633309824,0
7045,350000,6,3,0.038873905538423736,1
7542,350000,3,2,0.6661367249602543,0
9186,350000,2,2,0.9102201674714551,0
12649,350000,3,2,0.22926957455640906,1
13333,350000,5,2,0.029045175931192383,1
15044,350000,3,2,0.10518480133034021,1
17363,350000,2,2,0.030372353370649793,0
20238,350000,6,7,0.0,1
21230,350000,2,2,0.32730040242707314,0
22637,350000,6,3,0.039544935372277046,1
23342,350000,2,2,0.032047992062218866,1
24813,350000,3,2,0.5173013725111154,1
24908,350000,3,2,0.03169363756095156,0
26306,350000,2,2,1.4383149065955014,0
28608,350000,5,2,0.6054630399266244,1
29851,350000,3,2,0.10706006025322568,0
2219,340000,2,2,0.8032960103618113,1
5923,340000,3,4,0.12995590343611604,1
8764,340000,2,2,0.26403802841098045,0
13382,340000,3,2,0.4657006425063571,0
15932,340000,2,2,0.07352402482547855,0
20909,340000,2,2,0.044635041367583,0
22852,340000,3,3,0.02378207509999001,1
25376,340000,5,2,0.057672175278546324,0
27295,340000,2,2,0.05421315475512443,0
28595,340000,5,5,0.11056651241691243,1
3046,330000,6,2,0.03915850056595275,0
4336,330000,6,8,0.0,1
6029,330000,3,2,5.0,0
6157,330000,2,2,0.03697991891271259,0
8231,330000,2,2,0.04086407312972509,0
12378,330000,2,2,0.03554290382831789,1
14261,330000,2,2,0.6942185095625412,0
14445,330000,5,2,0.4946025515210991,0
14904,330000,2,2,1.3561241610738255,1
19911,330000,2,2,1.0028185952121462,0
20643,330000,4,2,0.056638176925579486,0
23220,330000,2,2,0.039844731660823765,1
72,320000,6,2,0.03810544162273956,1
3270,320000,4,3,0.036848739068709994,1
5213,320000,2,2,0.0610671296977545,0
7239,320000,2,2,0.882918620795557,0
10952,320000,2,2,0.038789358754608,1
11053,320000,6,2,0.03166158146139363,0
12301,320000,5,2,0.03344841114590546,1
13210,320000,3,2,0.022890178231654235,0
13437,320000,6,2,0.03805364797153342,1
13554,320000,6,4,0.020889244932707208,1
14578,320000,3,2,0.5601404741000878,1
16608,320000,4,2,0.05168472643427494,0
18856,320000,3,2,0.08667999797864584,1
22183,320000,6,2,0.03453445522912595,1
22660,320000,3,2,1.567090395480226,0
23150,320000,6,2,0.09315180320234491,0
23169,320000,2,2,0.9682685674867786,0
24427,320000,2,2,0.036642575647190534,1
25705,320000,5,3,0.030236253863371077,1
25741,320000,2,2,0.0,1
27555,320000,4,2,0.02993420744775435,1
28880,320000,2,2,0.029670917528986866,1
29807,320000,6,2,0.03236509692065894,1
3087,310000,4,2,0.6742012291257763,0
4086,310000,2,2,0.0969402520161434,0
4188,310000,6,2,0.030040313973274457,1
9410,310000,3,2,0.032249633411176884,0
16548,310000,2,2,0.05438970459796722,1
17253,310000,3,2,0.044129732407209354,1
17773,310000,6,2,0.030958044739271055,0
18137,310000,3,2,0.028891423994688574,0
20561,310000,5,3,1.0224960351348054,0
21802,310000,3,2,0.2910451639727665,0
23483,310000,2,2,0.040847540994652334,0
24316,310000,2,2,0.022008853916750226,0
27171,310000,2,2,0.0,1
3668,300000,3,2,0.5444483049585547,0
4332,300000,4,2,0.04940729234793983,0
4522,300000,2,2,0.04146989504532735,0
5760,300000,2,2,0.567272460794372,0
5972,300000,2,2,0.030619734948188163,0
6146,300000,2,2,0.029265981985940246,0
6215,300000,3,3,0.08314274656064177,0
6488,300000,3,2,0.041597643014256024,0
6914,300000,4,2,0.03283793119301935,1
7551,300000,6,2,0.038177497877331115,1
7668,300000,2,2,0.3637484987178239,1
7852,300000,6,5,0.010805577406834311,1
8015,300000,2,2,0.03067426333877965,1
8491,300000,2,2,0.8881048387096774,0
8839,300000,2,2,0.5755834204110066,0
9413,300000,3,2,0.4709523841187305,0
9922,300000,2,2,0.3121901179688836,1
10684,300000,2,2,0.038754684067961245,0
10730,300000,2,2,0.6996071811187222,0
10870,300000,2,2,0.8872592592592593,1
10976,300000,4,2,0.0,0
11733,300000,6,2,0.0,1
12143,300000,6,2,0.036002023897559646,0
12324,300000,2,2,1.0403349192239386,0
12912,300000,2,2,0.3784109806219251,1
13170,300000,4,2,0.0,1
13181,300000,6,2,0.034576829421951595,1
14162,300000,2,2,0.0,0
18130,300000,2,2,0.7040684930160321,1
19711,300000,6,2,0.048128869861942335,0
19966,300000,6,3,0.0,1
21304,300000,6,2,0.03414547394629201,1
21967,300000,4,2,0.054461766155774124,1
22949,300000,2,2,0.020633300308914755,0
23340,300000,4,2,0.04409460662045799,0
23366,300000,5,3,0.13616557734204793,1
23583,300000,2,2,0.030260071000522717,1
23587,300000,2,3,4.6112956810631225,0
24286,300000,3,2,4.493377483443709,0
25703,300000,2,2,0.06324444390645427,1
27197,300000,6,2,0.02509339033306603,1
27416,300000,3,3,1.0545587696814354,1
27452,300000,3,2,0.04033855045252519,0
27460,300000,6,2,0.04698683846447012,1
27778,300000,2,2,0.02556865522412931,1
28173,300000,3,3,0.7411419544120966,1
29663,300000,2,2,0.03843923832454149,0
