CLIENT_ID,LIMIT_BAL,RecentDelinquencyCount,SevereDelinquencyCount,MaxRepaymentDelay,DEFAULT
13736,260000,6,6,2,1
16678,260000,6,6,2,1
29769,260000,6,6,2,0
11491,250000,6,2,2,1
12709,250000,6,5,2,0
14942,250000,6,6,2,1
16682,250000,6,6,2,1
19247,250000,6,6,2,1
27168,250000,6,6,3,1
27511,250000,6,6,3,1
2737,240000,6,5,2,1
3990,240000,6,5,2,1
6578,240000,6,6,3,1
9278,240000,6,6,2,0
13778,240000,6,6,2,1
14554,240000,6,6,4,1
16721,240000,6,6,2,0
23588,240000,6,6,3,1
23626,240000,6,6,2,1
26274,240000,6,6,2,1
27554,240000,6,5,4,1
1433,230000,6,6,2,1
1707,230000,6,6,2,0
2079,230000,6,5,2,0
3093,230000,6,6,2,0
3210,230000,6,5,3,0
13049,230000,6,5,2,0
13282,230000,6,6,2,0
21059,230000,6,5,2,1
21691,230000,6,5,3,0
22076,230000,6,6,2,1
25566,230000,6,6,2,1
28654,230000,6,6,2,1
28849,230000,6,6,3,1
1957,220000,6,6,2,1
3537,220000,6,6,6,1
6683,220000,6,6,2,1
8767,220000,6,6,7,1
9284,220000,6,5,2,1
10533,220000,6,6,4,1
12930,220000,6,5,2,0
16688,220000,6,6,4,1
16778,220000,6,6,2,1
23020,220000,6,6,8,1
26723,220000,6,5,2,1
28821,220000,6,6,3,1
159,210000,6,6,6,1
1429,210000,6,6,2,1
4859,210000,6,6,2,1
18146,210000,6,6,2,1
20974,210000,6,6,2,1
29957,210000,6,6,3,1
91,200000,6,6,2,1
188,200000,6,6,2,1
2324,200000,6,6,7,1
2756,200000,6,6,7,1
4579,200000,6,5,2,1
5078,200000,6,6,2,0
5389,200000,6,6,2,1
6043,200000,6,5,3,1
6579,200000,6,6,2,1
6720,200000,6,5,2,1
6934,200000,6,5,2,0
7784,200000,6,6,2,1
8120,200000,6,6,4,1
8271,200000,6,5,4,0
9014,200000,6,6,2,1
9915,200000,6,5,3,0
10332,200000,6,5,2,1
10384,200000,6,6,2,1
10911,200000,6,6,6,0
11200,200000,6,6,7,1
13704,200000,6,6,2,1
14077,200000,6,6,2,1
14641,200000,6,6,2,1
16028,200000,6,6,3,1
17307,200000,6,5,3,1
17834,200000,6,6,2,1
17938,200000,6,6,3,1
18880,200000,6,5,2,1
19154,200000,6,5,2,1
20589,200000,6,5,2,1
20854,200000,6,5,3,1
20885,200000,6,6,7,1
20995,200000,6,6,3,1
21080,200000,6,6,2,0
21203,200000,6,6,2,0
22591,200000,6,6,2,0
23319,200000,6,5,2,0
24134,200000,6,6,4,1
24208,200000,6,6,2,1
24265,200000,6,6,4,0
24324,200000,6,6,3,1
25856,200000,6,6,2,1
26541,200000,6,6,3,0
26778,200000,6,6,3,1
27115,200000,6,6,2,1
27252,200000,6,6,2,1
28502,200000,6,6,2,1
29254,200000,6,5,2,1
29268,200000,6,6,2,1
615,190000,6,5,2,0
677,190000,6,6,2,1
1518,190000,6,6,2,1
5176,190000,6,6,2,1
5811,190000,6,6,2,1
8186,190000,6,5,2,1
12340,190000,6,6,2,1
18229,190000,6,5,2,1
18616,190000,6,5,4,0
18906,190000,6,6,2,1
20889,190000,6,6,2,1
24596,190000,6,5,2,1
25003,190000,6,6,2,1
1153,180000,6,6,2,1
1397,180000,6,5,2,1
2658,180000,6,5,2,0
4378,180000,6,6,2,1
5134,180000,6,6,2,1
6851,180000,6,5,2,1
7134,180000,6,6,2,1
8425,180000,6,6,7,0
9084,180000,6,6,4,1
9875,180000,6,6,2,1
10930,180000,6,6,2,1
11728,180000,6,5,2,0
13144,180000,6,5,2,1
13901,180000,6,6,2,0
15025,180000,6,6,2,1
17607,180000,6,6,2,1
18265,180000,6,6,2,1
18855,180000,6,6,8,1
19475,180000,6,6,2,1
19634,180000,6,6,2,1
20545,180000,6,5,2,0
20671,180000,6,6,2,0
20973,180000,6,5,2,0
26355,180000,6,6,2,1
28294,180000,6,6,2,1
898,170000,6,6,2,1
1247,170000,6,6,4,1
5030,170000,6,6,2,1
7587,170000,6,6,2,1
9666,170000,6,6,7,0
11578,170000,6,6,2,0
18266,170000,6,6,2,1
22367,170000,6,6,2,1
22440,170000,6,6,2,0
24306,170000,6,6,2,1
25852,170000,6,6,2,1
27451,170000,6,5,2,0
405,160000,6,6,2,1
1840,160000,6,6,2,1
2108,160000,6,5,2,0
2134,160000,6,6,2,1
4607,160000,6,6,2,0
4744,160000,6,5,2,0
4892,160000,6,6,3,1
4916,160000,6,6,2,1
5609,160000,6,6,2,1
5749,160000,6,6,2,1
6644,160000,6,5,2,0
6723,160000,6,6,2,1
9028,160000,6,6,2,0
12400,160000,6,6,2,1
16847,160000,6,5,3,1
21040,160000,6,6,4,1
24360,160000,6,6,2,0
26076,160000,6,6,2,0
26761,160000,6,6,4,1
26986,160000,6,5,3,0
330,150000,6,6,2,0
4984,150000,6,6,2,1
6059,150000,6,6,2,0
6076,150000,6,6,3,1
6120,150000,6,5,2,1
7065,150000,6,6,2,1
8423,150000,6,5,2,0
8520,150000,6,5,4,0
8948,150000,6,5,3,1
9001,150000,6,6,2,1
9833,150000,6,6,2,1
10115,150000,6,6,2,1
10901,150000,6,6,2,1
11548,150000,6,6,8,1
12384,150000,6,6,5,0
13362,150000,6,6,2,1
15022,150000,6,6,2,1
15488,150000,6,5,2,1
15844,150000,6,6,2,1
16737,150000,6,6,3,0
16878,150000,6,6,2,1
17312,150000,6,6,6,0
19201,150000,6,6,5,0
21300,150000,6,6,3,1
21325,150000,6,6,2,1
21375,150000,6,5,2,1
22382,150000,6,6,2,1
23011,150000,6,6,2,1
23046,150000,6,6,2,1
26855,150000,6,5,2,0
26890,150000,6,6,2,1
27098,150000,6,6,3,1
27414,150000,6,6,2,0
28474,150000,6,6,2,1
28612,150000,6,5,2,1
1629,140000,6,6,2,0
1988,140000,6,6,2,0
2053,140000,6,6,2,0
2101,140000,6,6,2,0
2130,140000,6,6,3,1
2470,140000,6,6,2,1
5083,140000,6,6,2,1
5187,140000,6,6,2,0
5900,140000,6,5,3,0
7070,140000,6,6,3,1
7658,140000,6,6,2,1
7825,140000,6,5,2,1
8462,140000,6,6,2,1
9097,140000,6,6,2,1
10225,140000,6,6,2,0
10418,140000,6,6,3,1
10816,140000,6,6,2,1
11619,140000,6,6,2,1
12816,140000,6,5,2,0
12940,140000,6,6,2,1
13493,140000,6,5,2,1
14273,140000,6,6,2,1
15763,140000,6,6,2,1
16668,140000,6,5,3,1
18713,140000,6,6,2,1
18945,140000,6,6,2,1
20480,140000,6,6,2,1
23833,140000,6,6,2,1
24379,140000,6,6,2,1
25264,140000,6,6,2,1
26841,140000,6,5,2,1
26905,140000,6,5,2,1
28033,140000,6,6,2,1
29078,140000,6,5,3,1
29123,140000,6,6,3,1
29538,140000,6,6,2,1
176,130000,6,5,3,1
457,130000,6,5,2,0
1765,130000,6,5,2,0
3935,130000,6,6,2,0
4509,130000,6,6,2,0
4865,130000,6,6,2,1
8198,130000,6,6,2,0
9093,130000,6,6,2,1
9694,130000,6,5,2,1
10722,130000,6,6,2,0
11695,130000,6,6,3,1
11901,130000,6,6,3,1
12806,130000,6,5,3,1
14573,130000,6,6,2,1
15220,130000,6,5,2,0
15561,130000,6,6,2,0
17637,130000,6,6,2,1
18007,130000,6,6,3,1
20291,130000,6,5,2,0
20915,130000,6,6,2,1
21181,130000,6,6,3,1
22517,130000,6,6,2,1
23090,130000,6,5,2,0
23875,130000,6,5,2,1
24450,130000,6,5,2,1
25509,130000,6,6,2,1
25548,130000,6,6,3,1
26417,130000,6,6,2,0
27024,130000,6,6,2,0
27192,130000,6,6,2,1
400,120000,6,6,2,0
815,120000,6,5,2,1
2434,120000,6,6,3,1
2843,120000,6,5,2,0
4474,120000,6,6,2,0
5055,120000,6,6,2,1
5725,120000,6,6,2,1
5745,120000,6,6,2,1
6106,120000,6,5,2,1
6894,120000,6,5,2,1
6986,120000,6,5,2,0
7034,120000,6,6,3,0
7500,120000,6,6,2,1
8110,120000,6,6,3,0
8265,120000,6,6,2,1
9608,120000,6,6,2,1
11706,120000,6,5,2,0
12094,120000,6,5,2,0
12156,120000,6,6,2,1
12902,120000,6,6,2,1
13953,120000,6,5,2,0
14872,120000,6,5,2,0
15460,120000,6,6,2,1
16130,120000,6,5,2,0
17306,120000,6,6,4,0
17346,120000,6,6,3,1
17472,120000,6,6,4,1
17906,120000,6,6,2,1
18097,120000,6,6,3,1
19338,120000,6,5,3,1
19682,120000,6,6,2,1
21384,120000,6,6,2,1
22547,120000,6,6,2,0
23486,120000,6,5,2,1
24760,120000,6,5,2,1
25227,120000,6,6,5,0
26479,120000,6,5,2,1
27590,120000,6,6,2,1
28080,120000,6,6,2,1
29506,120000,6,6,2,0
29544,120000,6,5,2,1
540,110000,6,5,2,0
897,110000,6,5,3,1
2045,110000,6,6,2,1
2086,110000,6,6,2,1
2155,110000,6,6,2,1
4583,110000,6,6,2,1
4745,110000,6,5,2,0
5162,110000,6,6,2,1
5914,110000,6,6,7,0
7531,110000,6,6,2,1
8152,110000,6,5,2,0
9102,110000,6,6,2,1
9865,110000,6,6,2,1
10461,110000,6,6,2,0
10855,110000,6,6,4,1
11665,110000,6,6,3,1
14463,110000,6,6,2,1
15185,110000,6,6,2,1
16952,110000,6,6,2,1
17513,110000,6,6,2,1
17824,110000,6,6,2,1
18061,110000,6,6,2,1
18898,110000,6,6,4,1
19302,110000,6,6,7,0
20864,110000,6,5,2,0
23191,110000,6,5,2,0
23490,110000,6,5,5,0
23906,110000,6,5,3,0
25446,110000,6,6,2,1
27047,110000,6,6,3,1
28452,110000,6,6,2,1
28574,110000,6,6,2,1
29280,110000,6,6,2,1
29590,110000,6,6,3,1
669,100000,6,5,2,0
783,100000,6,6,2,1
858,100000,6,6,2,1
1436,100000,6,6,2,1
1895,100000,6,5,8,1
3023,100000,6,6,2,1
3766,100000,6,6,2,1
4015,100000,6,6,5,1
4093,100000,6,5,3,1
4404,100000,6,5,4,1
4444,100000,6,6,8,0
4542,100000,6,6,2,0
4629,100000,6,5,2,1
4658,100000,6,6,2,1
5570,100000,6,6,2,1
5984,100000,6,6,2,0
6144,100000,6,5,2,0
6972,100000,6,6,2,0
7019,100000,6,6,3,1
7141,100000,6,6,2,1
7267,100000,6,6,2,1
8291,100000,6,6,2,1
8703,100000,6,5,3,1
8878,100000,6,5,2,1
9007,100000,6,5,4,0
9267,100000,6,6,2,1
9281,100000,6,6,2,1
9408,100000,6,6,2,1
9827,100000,6,6,2,1
10515,100000,6,6,4,1
10569,100000,6,6,2,1
10797,100000,6,6,2,1
11510,100000,6,6,4,1
11571,100000,6,5,2,0
11675,100000,6,6,3,1
11710,100000,6,6,2,1
11742,100000,6,5,2,0
11867,100000,6,6,3,0
12274,100000,6,5,4,0
12355,100000,6,5,2,0
12513,100000,6,6,3,1
13293,100000,6,5,3,1
13414,100000,6,6,2,0
13737,100000,6,5,2,1
14359,100000,6,6,2,1
14698,100000,6,6,2,1
15054,100000,6,6,2,1
15752,100000,6,6,2,0
16298,100000,6,6,3,0
16501,100000,6,6,2,1
17027,100000,6,6,3,1
17064,100000,6,6,3,1
17218,100000,6,6,2,1
17381,100000,6,6,2,1
17909,100000,6,6,3,1
18215,100000,6,5,2,0
18949,100000,6,5,2,0
18976,100000,6,6,3,0
19037,100000,6,6,4,1
19132,100000,6,6,2,1
19850,100000,6,5,2,0
20204,100000,6,5,2,1
21229,100000,6,6,2,1
22291,100000,6,6,2,0
22705,100000,6,6,3,0
22878,100000,6,6,2,1
23068,100000,6,6,2,1
23691,100000,6,6,2,1
24281,100000,6,6,2,1
24478,100000,6,6,7,0
25412,100000,6,6,5,0
25489,100000,6,6,3,1
25775,100000,6,6,2,1
26116,100000,6,6,2,1
26483,100000,6,6,2,1
27433,100000,6,6,3,0
27459,100000,6,6,3,1
27541,100000,6,5,2,0
27774,100000,6,6,2,1
28343,100000,6,6,2,1
28606,100000,6,6,2,1
28615,100000,6,6,2,1
29381,100000,6,6,4,1
29461,100000,6,6,4,0
29815,100000,6,6,2,1
484,90000,6,5,2,0
502,90000,6,5,2,0
676,90000,6,6,2,1
1667,90000,6,6,2,0
1889,90000,6,5,2,0
2089,90000,6,6,2,1
2852,90000,6,6,2,1
3561,90000,6,6,2,1
3963,90000,6,6,2,1
4248,90000,6,6,3,0
4387,90000,6,6,8,1
4447,90000,6,6,2,0
7064,90000,6,6,3,0
7307,90000,6,6,3,1
9806,90000,6,6,2,1
11043,90000,6,6,2,0
12004,90000,6,6,2,0
12254,90000,6,6,4,0
13937,90000,6,6,3,0
13990,90000,6,5,5,1
14477,90000,6,5,2,0
15217,90000,6,5,3,1
17700,90000,6,6,2,1
17993,90000,6,6,2,1
18643,90000,6,5,2,0
18644,90000,6,5,2,0
19065,90000,6,5,2,0
19117,90000,6,6,2,1
19624,90000,6,6,3,0
20430,90000,6,5,3,1
23282,90000,6,6,2,0
25717,90000,6,6,2,1
26040,90000,6,6,2,0
27133,90000,6,6,2,1
837,80000,6,6,2,0
944,80000,6,6,5,1
1380,80000,6,5,2,0
1446,80000,6,6,3,0
1776,80000,6,6,2,1
1981,80000,6,6,3,1
2292,80000,6,6,3,1
2402,80000,6,5,2,0
2458,80000,6,5,2,0
3256,80000,6,6,3,1
3336,80000,6,5,2,1
3560,80000,6,6,2,1
3785,80000,6,6,7,1
4773,80000,6,6,2,1
4991,80000,6,6,2,1
5283,80000,6,6,4,1
6346,80000,6,6,2,1
6453,80000,6,5,2,0
6524,80000,6,5,2,0
6633,80000,6,6,2,1
6835,80000,6,6,2,1
6999,80000,6,6,2,0
7872,80000,6,6,2,1
8736,80000,6,6,2,1
8809,80000,6,5,2,0
8851,80000,6,6,3,1
8992,80000,6,6,8,0
9137,80000,6,5,2,1
9545,80000,6,6,2,0
10541,80000,6,6,3,1
10778,80000,6,6,2,0
10864,80000,6,6,2,1
12015,80000,6,5,2,1
13481,80000,6,6,3,1
14074,80000,6,6,2,1
14306,80000,6,6,2,1
14700,80000,6,6,2,0
14714,80000,6,6,2,1
16211,80000,6,6,3,1
16363,80000,6,6,2,1
16443,80000,6,6,3,1
16466,80000,6,6,2,1
16686,80000,6,5,2,0
16842,80000,6,6,4,1
17117,80000,6,6,2,1
17383,80000,6,6,2,0
17602,80000,6,6,2,1
17622,80000,6,6,4,1
17947,80000,6,6,2,1
18597,80000,6,6,3,1
18814,80000,6,5,3,0
19563,80000,6,5,2,1
20456,80000,6,5,2,1
21204,80000,6,5,2,1
21547,80000,6,5,2,0
21618,80000,6,5,2,1
22106,80000,6,6,3,1
24144,80000,6,6,4,1
24176,80000,6,6,2,1
24419,80000,6,5,2,0
25139,80000,6,6,2,1
26692,80000,6,5,2,1
26713,80000,6,5,2,1
26972,80000,6,6,2,1
27058,80000,6,6,2,1
27230,80000,6,6,2,0
27639,80000,6,6,2,1
28031,80000,6,5,2,1
28275,80000,6,5,2,0
28335,80000,6,5,2,1
29524,80000,6,6,2,1
29960,80000,6,6,2,1
1147,70000,6,6,7,1
1207,70000,6,6,2,1
1337,70000,6,6,3,1
1432,70000,6,6,2,1
2114,70000,6,6,2,1
3143,70000,6,6,2,1
3589,70000,6,6,3,1
4212,70000,6,5,2,0
4470,70000,6,6,2,0
5170,70000,6,6,2,1
5978,70000,6,5,2,1
6332,70000,6,6,3,1
6780,70000,6,5,2,1
7151,70000,6,6,2,1
7527,70000,6,6,2,1
7556,70000,6,6,2,1
8044,70000,6,6,3,1
8173,70000,6,6,6,1
8792,70000,6,6,2,1
9057,70000,6,6,2,1
9478,70000,6,6,2,1
9645,70000,6,6,3,1
10752,70000,6,6,2,0
11002,70000,6,5,2,0
11260,70000,6,6,2,1
11713,70000,6,6,2,1
12060,70000,6,6,2,1
12087,70000,6,6,2,0
12494,70000,6,5,2,0
12717,70000,6,5,2,0
12726,70000,6,5,2,0
13710,70000,6,6,2,1
14213,70000,6,6,2,1
14885,70000,6,5,2,0
16087,70000,6,6,2,1
16224,70000,6,6,3,1
16581,70000,6,6,2,1
17575,70000,6,5,2,0
17675,70000,6,6,2,1
17859,70000,6,5,2,1
17928,70000,6,6,2,1
17991,70000,6,5,8,0
18180,70000,6,6,2,1
18723,70000,6,5,2,0
19043,70000,6,6,2,1
19251,70000,6,5,2,0
19447,70000,6,5,2,0
20693,70000,6,5,2,1
21035,70000,6,6,2,1
21256,70000,6,6,2,1
21432,70000,6,6,2,1
21630,70000,6,6,2,1
21873,70000,6,5,2,1
22042,70000,6,6,2,0
23004,70000,6,6,3,1
23643,70000,6,6,2,1
23758,70000,6,6,2,1
23918,70000,6,6,2,1
24018,70000,6,6,3,1
24569,70000,6,5,2,1
24852,70000,6,6,2,1
25011,70000,6,6,2,1
25394,70000,6,6,2,1
25611,70000,6,6,2,1
26824,70000,6,5,2,0
27087,70000,6,5,2,1
29107,70000,6,6,2,1
29636,70000,6,6,4,1
29863,70000,6,6,2,1
411,60000,6,5,2,1
1083,60000,6,6,2,0
1391,60000,6,6,4,1
1522,60000,6,6,5,0
3512,60000,6,6,2,1
3575,60000,6,6,2,0
3937,60000,6,5,2,0
5844,60000,6,6,5,0
6537,60000,6,6,2,1
6624,60000,6,6,5,0
6824,60000,6,6,3,1
6891,60000,6,6,2,1
7131,60000,6,6,4,1
7897,60000,6,6,2,1
7983,60000,6,6,2,1
8515,60000,6,6,2,1
9266,60000,6,6,2,1
9671,60000,6,6,2,0
9897,60000,6,6,4,1
10146,60000,6,6,3,1
10957,60000,6,6,2,1
12410,60000,6,5,2,1
13094,60000,6,5,3,0
13254,60000,6,6,8,0
14459,60000,6,5,4,1
14491,60000,6,5,3,0
15842,60000,6,6,4,1
15918,60000,6,6,2,1
17243,60000,6,6,3,1
17690,60000,6,6,2,0
17766,60000,6,6,5,0
18059,60000,6,6,2,1
18363,60000,6,6,2,1
18675,60000,6,6,2,0
18736,60000,6,6,2,1
18924,60000,6,5,2,0
19309,60000,6,6,7,0
20507,60000,6,6,2,1
20850,60000,6,5,2,0
21401,60000,6,5,2,1
21499,60000,6,6,2,0
21513,60000,6,6,3,1
22357,60000,6,5,2,0
22395,60000,6,5,2,1
22487,60000,6,6,2,1
23080,60000,6,6,2,1
27190,60000,6,6,2,0
28272,60000,6,6,4,0
28568,60000,6,6,3,1
29471,60000,6,5,2,1
29694,60000,6,6,7,1
63,50000,6,6,2,1
121,50000,6,6,3,1
196,50000,6,5,2,1
514,50000,6,6,2,1
606,50000,6,5,2,0
750,50000,6,6,8,1
1084,50000,6,5,2,1
1461,50000,6,6,3,1
1559,50000,6,5,2,1
1647,50000,6,5,2,1
1836,50000,6,5,2,1
2051,50000,6,6,2,0
2218,50000,6,6,4,1
2374,50000,6,6,3,1
2392,50000,6,6,3,1
2405,50000,6,6,7,1
2447,50000,6,6,2,1
2730,50000,6,5,3,0
2772,50000,6,6,3,1
2817,50000,6,6,4,1
2854,50000,6,6,2,1
2864,50000,6,6,2,0
3456,50000,6,5,2,0
3640,50000,6,6,3,0
3901,50000,6,5,2,1
4145,50000,6,5,2,1
4160,50000,6,6,4,0
4217,50000,6,5,2,1
4492,50000,6,6,2,1
4672,50000,6,6,2,1
4837,50000,6,6,2,1
4881,50000,6,6,2,1
5146,50000,6,5,2,1
5723,50000,6,6,2,1
6053,50000,6,6,4,1
6208,50000,6,6,2,0
6506,50000,6,6,3,1
6664,50000,6,5,2,0
7675,50000,6,6,2,1
7798,50000,6,6,2,1
7813,50000,6,5,2,0
7876,50000,6,6,7,1
7921,50000,6,6,2,1
7955,50000,6,5,2,0
7988,50000,6,6,3,1
8078,50000,6,5,2,1
8106,50000,6,6,2,0
8174,50000,6,6,2,1
8289,50000,6,6,2,1
8402,50000,6,6,2,0
8900,50000,6,6,4,0
9026,50000,6,5,5,1
9074,50000,6,5,8,0
9079,50000,6,6,2,1
9217,50000,6,5,2,1
9446,50000,6,6,2,1
9512,50000,6,5,2,1
9691,50000,6,5,2,1
9759,50000,6,5,3,1
10191,50000,6,6,3,0
10453,50000,6,6,2,1
10695,50000,6,6,2,1
10795,50000,6,6,7,1
11445,50000,6,5,5,1
11657,50000,6,6,2,0
11821,50000,6,5,3,1
12045,50000,6,5,2,0
12157,50000,6,5,2,0
12170,50000,6,6,2,1
12231,50000,6,6,4,0
12739,50000,6,6,4,0
12804,50000,6,5,3,1
12818,50000,6,6,7,1
13214,50000,6,5,2,0
13284,50000,6,6,2,1
13393,50000,6,6,2,1
13410,50000,6,5,3,1
13598,50000,6,6,3,1
13925,50000,6,5,2,0
14010,50000,6,6,4,1
14218,50000,6,6,3,1
14251,50000,6,6,2,1
14431,50000,6,6,5,1
14788,50000,6,6,2,1
14883,50000,6,6,7,1
15103,50000,6,6,2,1
15342,50000,6,6,2,1
15527,50000,6,6,2,1
15839,50000,6,5,2,1
15898,50000,6,5,3,0
15926,50000,6,5,3,0
15976,50000,6,6,2,1
16166,50000,6,6,2,1
16404,50000,6,5,2,0
16524,50000,6,5,2,1
16614,50000,6,6,2,1
16638,50000,6,5,2,1
16685,50000,6,6,3,0
16718,50000,6,5,2,1
16732,50000,6,5,3,0
16908,50000,6,6,4,0
16949,50000,6,6,2,1
16980,50000,6,6,2,1
16993,50000,6,6,3,0
16997,50000,6,6,2,0
17020,50000,6,6,2,1
17031,50000,6,6,2,1
17043,50000,6,6,2,0
17128,50000,6,6,2,1
17136,50000,6,5,2,0
17195,50000,6,6,3,1
17232,50000,6,6,4,1
17266,50000,6,6,2,0
17351,50000,6,6,3,1
17473,50000,6,6,2,1
17798,50000,6,5,2,0
17891,50000,6,6,4,0
17903,50000,6,6,3,1
18050,50000,6,6,3,1
18217,50000,6,6,3,1
18610,50000,6,6,2,1
18613,50000,6,5,2,1
18901,50000,6,5,3,1
19023,50000,6,5,2,1
19079,50000,6,6,3,1
19304,50000,6,6,2,1
20124,50000,6,5,2,1
20266,50000,6,6,2,1
20322,50000,6,5,3,0
20424,50000,6,5,2,1
20717,50000,6,5,4,1
20754,50000,6,6,3,1
20836,50000,6,5,2,1
21164,50000,6,5,2,1
21363,50000,6,6,2,1
21783,50000,6,6,3,1
21823,50000,6,5,3,0
21942,50000,6,6,7,1
22669,50000,6,6,2,1
22811,50000,6,6,3,1
22812,50000,6,6,3,1
22974,50000,6,5,3,0
23365,50000,6,5,2,1
23389,50000,6,5,4,0
23449,50000,6,5,2,1
23668,50000,6,6,2,1
23685,50000,6,6,2,1
23844,50000,6,6,2,1
23878,50000,6,5,4,1
24111,50000,6,5,2,1
24303,50000,6,5,2,1
24481,50000,6,5,2,0
24549,50000,6,6,3,1
25132,50000,6,5,2,1
25154,50000,6,4,2,0
25170,50000,6,6,2,1
25238,50000,6,6,2,1
25295,50000,6,6,2,1
25511,50000,6,6,2,0
25812,50000,6,6,2,1
25990,50000,6,6,3,1
26128,50000,6,6,3,1
26556,50000,6,6,3,0
26715,50000,6,5,2,1
27238,50000,6,6,3,1
27428,50000,6,5,2,1
27587,50000,6,6,2,1
27889,50000,6,6,7,1
28029,50000,6,6,2,1
28142,50000,6,5,3,1
28290,50000,6,5,2,0
28397,50000,6,5,2,0
28503,50000,6,5,4,1
28633,50000,6,6,2,1
28718,50000,6,6,7,0
29236,50000,6,6,4,1
29434,50000,6,5,2,0
29445,50000,6,6,3,1
29491,50000,6,6,7,1
1870,40000,6,6,2,1
2375,40000,6,6,2,1
8518,40000,6,6,3,1
8838,40000,6,5,8,0
9384,40000,6,5,2,0
12828,40000,6,5,2,1
13433,40000,6,6,2,1
13568,40000,6,6,2,1
13732,40000,6,6,7,1
13803,40000,6,6,2,0
13959,40000,6,6,7,1
16506,40000,6,6,4,1
17223,40000,6,6,2,1
17500,40000,6,5,2,1
17912,40000,6,6,2,1
18506,40000,6,6,2,1
18646,40000,6,6,3,0
19519,40000,6,5,3,0
19573,40000,6,6,2,1
20268,40000,6,5,2,0
20740,40000,6,6,3,1
24747,40000,6,5,3,1
25623,40000,6,6,2,1
25864,40000,6,5,2,1
26679,40000,6,5,2,0
29290,40000,6,5,3,0
29791,40000,6,6,2,1
29942,40000,6,6,3,1
293,30000,6,6,3,0
309,30000,6,6,4,1
674,30000,6,6,7,1
705,30000,6,5,4,0
708,30000,6,5,2,0
863,30000,6,6,7,1
982,30000,6,6,8,0
1524,30000,6,6,2,1
1880,30000,6,6,2,1
1909,30000,6,6,3,0
2256,30000,6,5,2,1
2461,30000,6,6,2,1
2509,30000,6,6,4,1
2714,30000,6,6,2,0
2926,30000,6,6,2,1
2973,30000,6,6,2,0
3086,30000,6,6,7,0
3233,30000,6,6,2,0
3287,30000,6,6,3,1
3350,30000,6,5,3,1
3378,30000,6,6,4,0
3500,30000,6,6,2,1
3539,30000,6,6,5,1
3663,30000,6,6,3,1
3872,30000,6,6,2,0
4019,30000,6,6,2,1
4208,30000,6,6,2,0
4330,30000,6,5,4,0
4432,30000,6,6,3,0
4569,30000,6,6,2,1
4930,30000,6,5,2,1
5011,30000,6,5,2,0
5112,30000,6,6,2,1
5484,30000,6,6,3,1
5486,30000,6,6,2,1
5578,30000,6,5,3,1
5591,30000,6,6,3,0
5680,30000,6,6,2,1
5720,30000,6,6,2,1
5741,30000,6,6,2,1
5754,30000,6,5,2,0
6152,30000,6,5,2,1
6298,30000,6,5,2,0
6318,30000,6,6,5,1
6489,30000,6,6,3,1
6626,30000,6,6,2,1
6642,30000,6,5,2,1
6747,30000,6,6,3,1
6749,30000,6,6,2,1
7212,30000,6,6,3,1
7364,30000,6,6,2,1
7390,30000,6,6,3,1
7404,30000,6,6,3,1
7564,30000,6,6,2,1
7730,30000,6,6,2,1
7835,30000,6,6,5,0
8042,30000,6,6,3,0
8047,30000,6,5,4,0
