customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,TenureGroup,MonthlyChargeBand,ServiceCount,ContractRisk,EstimatedCustomerValue,ChurnProbability,PredictedChurn,RiskBand,MonthlyChargesAtRisk
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,49-60 Months,Low,1,Medium Contract Risk,1073.8,0.03713218255245417,No,Low Risk,0.0
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,61+ Months,Very High,6,Low Contract Risk,7575.7,0.08049223419930443,No,Low Risk,0.0
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,0-12 Months,Medium,3,High Contract Risk,552.0,0.17464119238952205,No,Low Risk,0.0
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,13-24 Months,High,4,High Contract Risk,1891.05,0.47560196377936215,No,Medium Risk,0.0
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,0-12 Months,Medium,2,High Contract Risk,39.65,0.8140329505945203,Yes,High Risk,39.65
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0-12 Months,Low,1,Medium Contract Risk,237.60000000000002,0.055295591634267206,No,Low Risk,0.0
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0-12 Months,Low,1,High Contract Risk,20.15,0.29872100466145696,No,Low Risk,0.0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,49-60 Months,Medium,4,Low Contract Risk,3474.2,0.036394018853275735,No,Low Risk,0.0
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,49-60 Months,Medium,4,High Contract Risk,2920.4,0.07112930664774138,No,Low Risk,0.0
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,25-48 Months,Medium,3,High Contract Risk,1659.0,0.11553352463251876,No,Low Risk,0.0
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,25-48 Months,High,5,High Contract Risk,4669.45,0.5079422285765662,Yes,Medium Risk,0.0
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,0-12 Months,Low,1,High Contract Risk,30.2,0.5652771909083832,Yes,Medium Risk,0.0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,61+ Months,High,8,Low Contract Risk,6498.0,0.026776781786140343,No,Low Risk,0.0
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,13-24 Months,Medium,3,High Contract Risk,1099.9,0.2556835163334784,No,Low Risk,0.0
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,61+ Months,High,6,Low Contract Risk,6840.849999999999,0.04518077742269422,No,Low Risk,0.0
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,0-12 Months,High,4,High Contract Risk,191.0,0.7524787777073242,Yes,High Risk,95.5
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,25-48 Months,Medium,5,Medium Contract Risk,1786.0500000000002,0.03724704785791399,No,Low Risk,0.0
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0-12 Months,Low,1,High Contract Risk,20.2,0.29872100466145696,No,Low Risk,0.0
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0-12 Months,Medium,1,High Contract Risk,45.25,0.5810378856310762,Yes,Medium Risk,0.0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,61+ Months,High,6,Low Contract Risk,7192.8,0.05263437609641558,No,Low Risk,0.0
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0-12 Months,Medium,1,High Contract Risk,348.5,0.6534572742343966,Yes,High Risk,69.7
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,25-48 Months,High,2,High Contract Risk,3440.7999999999997,0.2535941213369291,No,Low Risk,0.0
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,25-48 Months,Very High,6,High Contract Risk,3615.8999999999996,0.5740146475229408,Yes,Medium Risk,0.0
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,0-12 Months,High,5,High Contract Risk,1076.35,0.6884903356710829,Yes,High Risk,97.85
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,0-12 Months,Medium,2,Medium Contract Risk,495.5,0.10778147295848461,No,Low Risk,0.0
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,61+ Months,Medium,5,Low Contract Risk,4844.0,0.03865584412182455,No,Low Risk,0.0
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,13-24 Months,Low,1,Medium Contract Risk,352.75,0.04619150503289482,No,Low Risk,0.0
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,61+ Months,High,7,Low Contract Risk,5030.549999999999,0.028361106487684355,No,Low Risk,0.0
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,13-24 Months,High,6,High Contract Risk,990.6,0.21933453657518187,No,Low Risk,0.0
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,49-60 Months,High,3,High Contract Risk,4140.5,0.42075852796814933,No,Medium Risk,0.0
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,0-12 Months,Medium,2,High Contract Risk,98.5,0.3926409304486177,No,Medium Risk,0.0
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,0-12 Months,High,2,High Contract Risk,161.3,0.720529192408088,Yes,High Risk,80.65
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,49-60 Months,High,6,Low Contract Risk,4147.0,0.03971290003318397,No,Low Risk,0.0
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,61+ Months,Medium,5,Low Contract Risk,4426.35,0.027052482507484876,No,Low Risk,0.0
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,25-48 Months,High,4,High Contract Risk,3880.75,0.47125686494738067,No,Medium Risk,0.0
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,13-24 Months,High,5,High Contract Risk,1486.5,0.503740300411027,Yes,Medium Risk,0.0
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,25-48 Months,Medium,5,High Contract Risk,1737.5,0.16118471877612625,No,Low Risk,0.0
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,0-12 Months,High,3,High Contract Risk,645.2,0.595934901829714,Yes,Medium Risk,0.0
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,49-60 Months,High,6,Medium Contract Risk,4491.0,0.0476200571757662,No,Low Risk,0.0
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,13-24 Months,High,4,High Contract Risk,1718.1000000000001,0.653306529567185,Yes,High Risk,95.45
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,61+ Months,High,5,Medium Contract Risk,6277.950000000001,0.15497331511282764,No,Low Risk,0.0
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,61+ Months,Very High,7,Medium Contract Risk,7157.7,0.21296349475302218,No,Low Risk,0.0
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,25-48 Months,Low,2,Low Contract Risk,848.3,0.025140281571952163,No,Low Risk,0.0
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,61+ Months,Very High,6,Low Contract Risk,7740.0,0.0845935492217651,No,Low Risk,0.0
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,25-48 Months,Very High,5,High Contract Risk,4723.5,0.5295292513024018,Yes,Medium Risk,0.0
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,49-60 Months,High,4,High Contract Risk,5394.0,0.25803601615001265,No,Low Risk,0.0
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,61+ Months,Medium,3,Low Contract Risk,3031.2000000000003,0.031259904489863904,No,Low Risk,0.0
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,13-24 Months,Medium,3,Medium Contract Risk,979.1999999999999,0.07251923116147549,No,Low Risk,0.0
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,0-12 Months,High,4,High Contract Risk,849.6,0.6599215022675149,Yes,High Risk,94.4
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,0-12 Months,High,5,High Contract Risk,225.89999999999998,0.41312850849696425,No,Medium Risk,0.0
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,25-48 Months,High,3,Medium Contract Risk,3708.3,0.15416277847557786,No,Low Risk,0.0
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,25-48 Months,High,6,Low Contract Risk,2455.2000000000003,0.039161619999878015,No,Low Risk,0.0
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,49-60 Months,Low,1,Low Contract Risk,1007.4999999999999,0.022063916656277653,No,Low Risk,0.0
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,0-12 Months,High,3,High Contract Risk,798.5,0.40336038483282266,No,Medium Risk,0.0
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,0-12 Months,Medium,2,High Contract Risk,49.05,0.3908047729847458,No,Medium Risk,0.0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,49-60 Months,Low,1,Medium Contract Risk,1060.8,0.056062904363837145,No,Low Risk,0.0
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,61+ Months,Very High,7,Low Contract Risk,7142.4,0.07572689681547642,No,Low Risk,0.0
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,61+ Months,Low,2,Low Contract Risk,1503.5,0.02357034535425262,No,Low Risk,0.0
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,0-12 Months,Medium,4,High Contract Risk,193.5,0.2432864155844577,No,Low Risk,0.0
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,49-60 Months,Very High,7,Medium Contract Risk,6188.0,0.23368109876889984,No,Low Risk,0.0
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,25-48 Months,Medium,2,Medium Contract Risk,2559.9,0.0807852220147513,No,Low Risk,0.0
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,0-12 Months,Medium,3,High Contract Risk,437.2,0.1402960455083741,No,Low Risk,0.0
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,25-48 Months,High,5,High Contract Risk,2242.5,0.2304356068455368,No,Low Risk,0.0
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,25-48 Months,Low,2,Medium Contract Risk,1165.5,0.0463339487319688,No,Low Risk,0.0
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,0-12 Months,High,2,High Contract Risk,79.35,0.8328338147603935,Yes,High Risk,79.35
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,0-12 Months,Medium,3,High Contract Risk,556.05,0.26478512221719136,No,Low Risk,0.0
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,0-12 Months,High,2,High Contract Risk,526.0500000000001,0.5270438288298726,Yes,Medium Risk,0.0
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,25-48 Months,Very High,6,High Contract Risk,4359.599999999999,0.3706025297608136,No,Medium Risk,0.0
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,49-60 Months,Low,1,Low Contract Risk,987.3499999999999,0.024218918134780353,No,Low Risk,0.0
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,0-12 Months,High,5,High Contract Risk,893.6999999999999,0.6956703867637738,Yes,High Risk,99.3
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,25-48 Months,Medium,3,Medium Contract Risk,2175.25,0.0796824355674787,No,Low Risk,0.0
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,25-48 Months,Low,1,Low Contract Risk,991.1999999999999,0.022063916656277653,No,Low Risk,0.0
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,25-48 Months,Low,1,Low Contract Risk,917.6999999999999,0.023509376239516242,No,Low Risk,0.0
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,25-48 Months,Low,1,High Contract Risk,978.75,0.19176625812374287,No,Low Risk,0.0
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,25-48 Months,High,3,High Contract Risk,2461.5,0.247387962556621,No,Low Risk,0.0
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,0-12 Months,High,2,High Contract Risk,74.7,0.6802455784550095,Yes,High Risk,74.7
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,61+ Months,High,7,Low Contract Risk,5544.0,0.03353923232574514,No,Low Risk,0.0
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,61+ Months,Very High,7,High Contract Risk,7218.25,0.29445896717598635,No,Low Risk,0.0
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,61+ Months,Very High,6,Low Contract Risk,7264.8,0.09524782543052387,No,Low Risk,0.0
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,0-12 Months,High,3,High Contract Risk,947.4000000000001,0.523491997426994,Yes,Medium Risk,0.0
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,61+ Months,Medium,5,Medium Contract Risk,4746.349999999999,0.03665444795175973,No,Low Risk,0.0
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,0-12 Months,Low,1,High Contract Risk,105.25,0.14575567919699448,No,Low Risk,0.0
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,49-60 Months,Low,1,Low Contract Risk,1092.0,0.022188061443804846,No,Low Risk,0.0
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,25-48 Months,High,5,High Contract Risk,2462.5,0.5914881689646819,Yes,Medium Risk,0.0
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,0-12 Months,Low,1,High Contract Risk,20.2,0.29872100466145696,No,Low Risk,0.0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0,0-12 Months,Low,1,High Contract Risk,19.45,0.3315238981683396,No,Medium Risk,0.0
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,0,25-48 Months,High,5,Medium Contract Risk,3610.0,0.1365217856615228,No,Low Risk,0.0
