CLIENT_ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT,SexLabel,EducationLabel,MarriageLabel,AgeGroup,LimitBand,AvgBillAmount,AvgPaymentAmount,TotalBillAmount,TotalPaymentAmount,RecentDelinquencyCount,SevereDelinquencyCount,MaxRepaymentDelay,AvgRepaymentStatus,RepaymentTrend,BillUtilization,LatestUtilization,PaymentToBillRatio,RecentPaymentToBillRatio,BillTrend,PaymentTrend
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,Female,Graduate School,Single,45-54,200K-300K,14728.166666666666,11051.333333333334,88369,66308,1,1,2,-0.5,-3,0.05664679487179487,0.04715769230769231,0.75034513975331,0.9195635336461798,-1407,18178
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,Female,University,Single,35-44,500K+,6834.5,3895.0,41007,23370,0,0,0,-0.8333333333333334,0,0.0108484126984127,0.019265079365079363,0.5698888021849395,0.5569257697509746,9267,1000
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,Male,University,Single,25-34,50K-100K,56447.5,1783.3333333333333,338685,10700,4,3,2,1.1666666666666667,-1,0.8063928571428571,0.9400285714285714,0.031592684669575946,0.03117567492822052,28908,3200
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,Male,Graduate School,Single,25-34,200K-300K,62265.166666666664,3000.0,373591,18000,0,0,0,0.0,0,0.24906066666666665,0.283548,0.048180903231332575,0.04466301753271566,15375,0
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,Female,High School,Other,18-24,<=50K,32736.0,1033.3333333333333,196416,6200,2,1,2,0.5,1,0.65472,1.01228,0.03156549585830147,0.024095492289442466,20403,-1100
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,Male,Graduate School,Single,18-24,<=50K,17693.5,1058.3333333333333,106161,6350,4,4,2,1.3333333333333333,-2,0.884675,0.7688,0.059814246152107155,0.09249237429892748,-3728,3200
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,Male,Graduate School,Married,45-54,300K-500K,161002.33333333334,60316.166666666664,966014,361897,0,0,0,-0.5,1,0.5031322916666667,0.79151875,0.37462875835261356,0.13866082253637943,57687,-39642
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,Graduate School,Married,45-54,300K-500K,0.0,0.0,0,0,1,0,1,-1.5,3,0.0,0.0,0.0,0.0,0,0
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,Graduate School,Single,25-34,100K-200K,0.0,0.0,0,0,1,0,1,-1.5,3,0.0,0.0,0.0,0.0,0,0
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,Female,High School,Single,35-44,100K-200K,20647.166666666668,7038.5,123883,42231,0,0,0,-0.16666666666666666,1,0.15882435897435898,0.2950615384615385,0.34089147912563367,0.06115799240081294,37428,-30764
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,Female,University,Married,35-44,100K-200K,316.0,263.3333333333333,1896,1580,0,0,-1,-1.0,0,0.0026333333333333334,0.0026333333333333334,0.8328940432261466,0.6659641728134879,0,316
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,Female,University,Single,25-34,50K-100K,44245.833333333336,1835.0,265475,11010,4,4,2,1.3333333333333333,0,0.6320833333333333,0.5869571428571428,0.041472675496090045,0.043476231593195025,-4925,187
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,Female,Graduate School,Married,35-44,300K-500K,4494.166666666667,3764.8333333333335,26965,22589,0,0,-2,-2.0,0,0.009987037037037037,0.012248888888888889,0.8376844915819921,0.8127319548587443,5512,18300
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,Male,Graduate School,Single,18-24,50K-100K,5310.666666666667,2733.3333333333335,31864,16400,0,0,0,-0.16666666666666666,0,0.05900740740740741,0.05271111111111111,0.5146712694178566,0.9441388066017774,-3548,3757
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,Male,High School,Single,18-24,<=50K,35715.833333333336,1315.1666666666667,214295,7891,0,0,0,0.0,0,0.7143166666666667,0.9524,0.036822899167506626,0.03507261625775185,17574,976
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,Male,Graduate School,Single,25-34,50K-100K,-65.66666666666667,416.6666666666667,-394,2500,1,0,1,-0.8333333333333334,2,-0.0010944444444444445,-0.0018166666666666667,5.0,3.6231884057971016,80,-1000
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,Female,High School,Single,25-34,<=50K,18711.333333333332,1185.3333333333333,112268,7112,0,0,0,0.0,0,0.37422666666666665,0.45082,0.06334785203395417,0.06446645058467489,2924,288
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,Female,High School,Married,45-54,<=50K,6701.333333333333,6594.5,40208,39567,0,0,-1,-1.0,0,0.13402666666666666,0.013,0.984033425352533,1.1868484362469929,393,3415
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,Male,Graduate School,Single,25-34,<=50K,16180.333333333334,1100.0,97082,6600,0,0,0,0.0,0,0.32360666666666665,0.30658,0.06798306603627824,0.08097002084978037,3929,1500
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,Female,Graduate School,Single,25-34,200K-300K,18957.666666666668,16248.166666666666,113746,97489,0,0,-1,-1.0,0,0.08242463768115943,0.07237391304347826,0.85706875785735,0.972699139429395,-20277,17270
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,Male,University,Single,25-34,<=50K,25311.5,1155.6666666666667,151869,6934,1,1,2,0.3333333333333333,2,0.50623,0.61036,0.045657470204780407,0.05128953416262357,6838,1002
33,100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,Male,Graduate School,Single,25-34,50K-100K,82539.5,3124.0,495237,18744,0,0,0,0.0,0,0.825395,0.93036,0.03784846881701323,0.03783251534686216,17447,519
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,Female,University,Married,45-54,300K-500K,20957.333333333332,26417.0,125744,158502,0,0,-2,-2.0,0,0.04191466666666666,0.021858,1.260503399737564,0.9126018410750185,1948,-47430
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,Male,Graduate School,Married,55-64,300K-500K,9719.666666666666,7570.833333333333,58318,45425,0,0,-2,-2.0,0,0.019439333333333333,0.027418,0.778905673965603,0.7897123139268948,8416,4238
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,Male,Graduate School,Single,25-34,100K-200K,4218.666666666667,380.0,25312,2280,0,0,-1,-1.5,0,0.02636666666666667,0.18915625,0.09007229486824951,0.031174007025128344,32149,131
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,Male,University,Married,35-44,200K-300K,178329.5,6987.166666666667,1069977,41923,0,0,0,0.0,0,0.6368910714285714,0.6660821428571428,0.03918117942611904,0.04083143944230229,9090,1289
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,Female,University,Single,18-24,50K-100K,5379.833333333333,8891.5,32279,53349,0,0,0,-0.16666666666666666,1,0.08966388888888889,0.2509,1.6526951672862453,0.1408611428094297,-3606,883
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,Male,Graduate School,Single,25-34,<=50K,130.0,130.0,780,780,1,0,1,-1.1666666666666667,3,0.0026,0.0,0.998719590268886,0.998719590268886,0,780
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,Male,Graduate School,Single,25-34,200K-300K,8607.166666666666,6226.166666666667,51643,37357,1,1,2,-0.3333333333333333,0,0.03073988095238095,0.0017785714285714286,0.7233560529780807,1.3402040098487513,-8979,8294
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,Male,Graduate School,Single,25-34,300K-500K,275125.1666666667,40640.0,1650751,243840,0,0,0,0.0,0,0.7642365740740741,0.6074111111111111,0.1477144961811344,0.03555638005132486,39444,6000
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,Female,Graduate School,Single,25-34,50K-100K,65476.0,3223.6666666666665,392856,19342,0,0,0,0.0,0,0.9353714285714285,0.9645857142857143,0.04923419972152717,0.05815488486924976,1551,500
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,Male,University,Single,18-24,<=50K,3793.5,1204.5,22761,7227,0,0,0,0.0,0,0.37935,0.1877,0.3175028556365873,0.4904654315408947,-2574,1000
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,Female,University,Married,35-44,100K-200K,64189.0,3333.3333333333335,385134,20000,0,0,0,0.0,0,0.45849285714285715,0.4250285714285714,0.051929842782400974,0.04891995608075054,-10298,0
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,Female,Graduate School,Single,25-34,<=50K,24530.833333333332,2166.6666666666665,147185,13000,1,1,2,0.3333333333333333,0,0.6132708333333333,0.473175,0.08832361773538244,0.12094823415578132,-10270,3000
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,Graduate School,Single,25-34,200K-300K,0.0,0.0,0,0,0,0,-2,-2.0,0,0.0,0.0,0.0,0.0,0,0
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,Female,Graduate School,Single,18-24,<=50K,13221.333333333334,3345.8333333333335,79328,20075,1,1,2,0.16666666666666666,0,0.6610666666666667,0.7014,0.25306004109468166,0.4262518083475482,14028,3000
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,Female,Other,Single,45-54,100K-200K,1639.5,363.8333333333333,9837,2183,0,0,0,-0.5,2,0.01093,0.029753333333333333,0.2218946940435048,0.2518458698661744,4463,1013
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,Male,University,Single,25-34,300K-500K,19135.833333333332,15555.333333333334,114815,93332,0,0,-1,-1.0,0,0.05035745614035087,0.05895,0.8128832218506131,1.038577425688943,10528,13289
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,Male,Graduate School,Single,18-24,<=50K,19301.666666666668,1041.0,115810,6246,0,0,0,0.0,0,0.9650833333333334,0.87235,0.0539327006933711,0.0602313954118008,-2616,249
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,Male,High School,Single,35-44,50K-100K,38168.666666666664,1350.0,229012,8100,5,4,2,1.5,1,0.5452666666666667,0.5291714285714286,0.03536917118242196,0.04571162240407282,-2320,-1500
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,Female,High School,Other,35-44,50K-100K,44197.5,1601.0,265185,9606,0,0,0,0.0,0,0.441975,0.61559,0.036223631715098084,0.03261640274166864,28301,1000
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,Female,University,Married,45-54,300K-500K,7354.166666666667,5111.333333333333,44125,30668,0,0,-2,-2.0,0,0.023723118279569893,0.04343548387096774,0.6950097448216471,0.9214391870874088,13001,7875
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,Female,Graduate School,Single,25-34,100K-200K,43191.833333333336,1707.6666666666667,259151,10246,2,1,2,0.5,1,0.23995462962962966,0.2300111111111111,0.03953664258813361,0.04028498129512403,-3917,-322
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,Female,Graduate School,Single,25-34,100K-200K,29458.5,2144.5,176751,12867,1,1,2,0.3333333333333333,2,0.19639,0.30816,0.07279691318910111,0.03876540141320172,29684,-3400
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,Female,Graduate School,Married,45-54,300K-500K,1398.0,1080.5,8388,6483,0,0,-2,-2.0,0,0.002796,0.00381,0.7727977112885922,0.666082690960056,-625,3640
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,Female,High School,Married,25-34,100K-200K,9234.0,4863.166666666667,55404,29179,0,0,0,-0.5,1,0.0513,0.09103333333333333,0.5266492193845321,0.43081164914699294,8065,6500
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,Female,University,Married,25-34,100K-200K,158727.0,5677.0,952362,34062,0,0,0,0.0,0,0.8818166666666667,0.9771444444444445,0.035765774184843384,0.039552560698572756,45968,4283
59,200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,Female,Graduate School,Single,25-34,100K-200K,1124.5,316.6666666666667,6747,1900,5,5,3,1.6666666666666667,-3,0.0056225,0.007935,0.2815649081209247,0.20184544405997693,173,0
60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,Female,University,Married,25-34,300K-500K,380690.0,18171.5,2284140,109029,0,0,0,0.0,0,0.951725,1.000335,0.04773304274998785,0.05155348625370575,36045,-6000
61,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,Female,High School,Married,25-34,300K-500K,18283.166666666668,1469.3333333333333,109699,8816,0,0,0,0.0,0,0.03656633333333333,0.045696,0.08036463081130356,0.058379866901246844,7277,-484
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,Male,University,Married,35-44,50K-100K,40707.0,2020.0,244242,12120,0,0,0,-0.16666666666666666,1,0.5815285714285714,1.0114285714285713,0.04962271180750318,0.033458803847762446,69970,4025
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,Male,Graduate School,Single,25-34,<=50K,26279.0,1020.8333333333334,157674,6125,6,6,2,2.0,0,0.52558,0.49974,0.038845726970033294,0.035582967619499466,-3277,0
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,Female,University,Married,45-54,<=50K,9647.333333333334,166.66666666666666,57884,1000,0,0,0,-1.0,2,0.19294666666666668,0.57436,0.01727563272004837,0.01727563272004837,28718,1000
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,Female,University,Married,45-54,100K-200K,408.6666666666667,392.1666666666667,2452,2353,0,0,-1,-1.3333333333333333,0,0.0031435897435897436,0.0007615384615384615,0.9592335915205871,0.0,99,0
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,Male,Graduate School,Married,55-64,100K-200K,78272.66666666667,1587.0,469636,9522,2,2,2,-0.5,-4,0.39136333333333334,0.762595,0.020275233850825213,0.01846200827669211,144601,-1000
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,Male,University,Married,55-64,<=50K,3808.6666666666665,501.6666666666667,22852,3010,3,3,2,1.0,2,0.38086666666666663,0.2097,0.1317113726862994,0.23858214042263123,-2229,2140
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,Female,Graduate School,Single,25-34,200K-300K,1431.5,1533.0,8589,9198,1,1,2,-0.5,3,0.006816666666666667,0.0014285714285714286,1.070779976717113,2.1244318181818183,-3950,-609
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,Female,High School,Single,25-34,100K-200K,1316.8333333333333,6896.5,7901,41379,2,1,2,-0.5,2,0.010129487179487178,-0.0014615384615384616,5.0,1.0135739781810869,-7509,-13899
70,20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,Male,Other,Single,18-24,<=50K,14721.0,616.6666666666666,88326,3700,1,1,2,0.3333333333333333,2,0.73605,0.92825,0.041889795872156875,0.04146640278955801,12583,0
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,Male,Graduate School,Single,25-34,50K-100K,390.0,325.0,2340,1950,0,0,-1,-1.0,0,0.004875,0.00975,0.8329773601025203,0.6660973526900086,390,-390
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,Male,University,Single,25-34,300K-500K,60358.666666666664,2300.0,362152,13800,6,6,2,2.0,0,0.18862083333333332,0.182084375,0.03810544162273956,0.028137626760008555,-5259,900
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,Female,University,Married,25-34,100K-200K,4404.166666666667,3252.0,26425,19512,1,1,2,-0.5,0,0.022020833333333333,0.04538,0.7383637326875048,1.053244005641749,5925,4423
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,Female,Graduate School,Single,35-44,200K-300K,919.0,919.0,5514,5514,1,0,1,-0.8333333333333334,2,0.0031689655172413792,0.0,0.999818676337262,0.9996831432192649,0,0
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,Male,Graduate School,Single,25-34,300K-500K,23699.833333333332,23666.166666666668,142199,141997,0,0,-1,-1.0,0,0.06970539215686274,0.00896470588235294,0.9985724331926864,1.0483466933867736,-22772,3697
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,Male,University,Single,18-24,<=50K,16888.0,931.6666666666666,101328,5590,1,1,2,0.3333333333333333,0,0.8444,0.73095,0.05516683279219177,0.07137258137711952,-3924,2850
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,Male,High School,Single,25-34,<=50K,24234.333333333332,1059.6666666666667,145406,6358,0,0,0,-0.16666666666666666,-1,0.48468666666666665,0.85676,0.04372554278679844,0.03321538342330242,32808,759
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,Female,Graduate School,Married,45-54,200K-300K,291.0,291.0,1746,1746,0,0,-1,-1.0,0,0.00097,0.00097,0.9994275901545506,0.9988558352402745,0,0
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,Female,University,Single,18-24,<=50K,24864.333333333332,1401.8333333333333,149186,8411,0,0,0,0.0,0,0.828811111111111,0.9462333333333334,0.05637890700932387,0.04127889862554627,21976,1686
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,Female,University,Single,35-44,200K-300K,0.0,0.0,0,0,1,0,1,-1.5,3,0.0,0.0,0.0,0.0,0,0
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,Female,High School,Other,25-34,300K-500K,102470.5,3654.3333333333335,614823,21926,0,0,0,0.0,0,0.21802234042553192,0.35160425531914896,0.035662238299090473,0.034928078955657436,135365,3400
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,Female,Graduate School,Single,25-34,300K-500K,49150.5,26892.5,294903,161355,0,0,0,-0.16666666666666666,1,0.13652916666666667,0.06503055555555555,0.5471441553861596,0.13841780217625724,23215,1833
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,Male,High School,Single,25-34,50K-100K,23927.666666666668,890.8333333333334,143566,5345,0,0,0,0.0,0,0.39879444444444445,0.4387333333333333,0.0372300041095795,0.04196376245360422,6553,1576
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,Female,University,Married,35-44,300K-500K,116825.33333333333,3792.1666666666665,700952,22753,1,1,2,0.3333333333333333,0,0.29206333333333334,0.3289875,0.03246009361540645,0.034600918296748225,37537,7900
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,Female,High School,Single,45-54,<=50K,29583.166666666668,1008.6666666666666,177499,6052,0,0,0,0.0,0,0.5916633333333333,0.97818,0.03409577464788732,0.031100438010519017,29427,850
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,Male,University,Single,25-34,100K-200K,111168.83333333333,16957.833333333332,667013,101747,0,0,0,0.0,0,0.6948052083333333,0.812675,0.15254102612538867,0.283909726862747,9610,-100
